terminationTime,TastId,Runtime,startTime,MEM,CPU,class_name,slo_value,availability,scenario
3600,105,3571,28.0,375,375,silver,90.0,99.97200447928331,simulation
3600,129,3453,146.0,375,375,silver,90.0,99.97104806022004,simulation
3600,139,3480,119.0,375,375,silver,90.0,99.97127262280954,simulation
3600,211,3526,73.0,375,375,bronze,50.0,99.9716472923164,simulation
3600,213,3476,123.0,375,375,bronze,50.0,99.9712395743457,simulation
3600,241,3541,58.0,375,375,bronze,50.0,99.97176736307172,simulation
3600,5,3439,160.0,375,375,gold,100.0,99.97093023255815,simulation
3600,6,3388,211.0,375,375,gold,100.0,99.97049277072882,simulation
3600,15,3533,66.0,375,375,gold,100.0,99.97170345217884,simulation
3600,23,3592,7.0,375,375,gold,100.0,99.97216810464792,simulation
3600,58,3503,96.0,375,375,gold,100.0,99.97146118721462,simulation
3600,114,3567,32.0,375,375,silver,90.0,99.9719730941704,simulation
3600,116,3406,193.0,375,375,silver,90.0,99.97064866451424,simulation
3600,152,3471,128.0,375,375,silver,90.0,99.97119815668204,simulation
3600,198,3499,100.0,375,375,bronze,50.0,99.97142857142856,simulation
3600,228,3554,45.0,375,375,bronze,50.0,99.971870604782,simulation
3600,41,3500,99.0,375,375,gold,100.0,99.97143673236218,simulation
3600,74,3544,55.0,375,375,gold,100.0,99.97179125528915,simulation
3600,76,3426,173.0,375,375,gold,100.0,99.97081995914795,simulation
3600,91,3528,71.0,375,375,silver,90.0,99.97166336072542,simulation
3600,92,3403,196.0,375,375,silver,90.0,99.97062279670976,simulation
3600,107,3450,149.0,375,375,silver,90.0,99.97102289191538,simulation
3600,165,3475,124.0,375,375,bronze,50.0,99.97123130034522,simulation
3600,184,3597,2.0,375,375,bronze,50.0,99.97220678154531,simulation
3600,202,3562,37.0,375,375,bronze,50.0,99.97193376368227,simulation
3600,204,3496,103.0,375,375,bronze,50.0,99.9714040606234,simulation
3600,12,3441,158.0,375,375,gold,100.0,99.97094712376524,simulation
3600,30,3555,44.0,375,375,gold,100.0,99.9718785151856,simulation
3600,88,3413,186.0,375,375,silver,90.0,99.97070884592853,simulation
3600,135,3565,34.0,375,375,silver,90.0,99.97195737521032,simulation
3600,153,3502,97.0,375,375,silver,90.0,99.9714530402512,simulation
3600,161,3470,129.0,375,375,bronze,50.0,99.97118985883033,simulation
3600,189,3590,9.0,375,375,bronze,50.0,99.97215260373156,simulation
3600,192,3482,117.0,375,375,bronze,50.0,99.97128911857595,simulation
3600,209,3532,67.0,375,375,bronze,50.0,99.97169544296632,simulation
3600,252,3435,164.0,375,375,bronze,50.0,99.97089639115252,simulation
3600,11,3487,112.0,375,375,gold,100.0,99.97133027522936,simulation
3600,39,3515,84.0,375,375,gold,100.0,99.97155858930604,simulation
3600,50,3593,6.0,375,375,gold,100.0,99.9721758486366,simulation
3600,67,3551,48.0,375,375,gold,100.0,99.97184684684683,simulation
3600,70,3523,76.0,375,375,gold,100.0,99.97162315550511,simulation
3600,130,3364,235.0,375,375,silver,90.0,99.9702823179792,simulation
3600,148,3372,227.0,375,375,silver,90.0,99.97035280166024,simulation
3600,199,3574,25.0,375,375,bronze,50.0,99.97202797202797,simulation
3600,237,3455,144.0,375,375,bronze,50.0,99.97106481481481,simulation
3600,249,3467,132.0,375,375,bronze,50.0,99.97116493656286,simulation
3600,27,3553,46.0,375,375,gold,100.0,99.97186268992684,simulation
3600,28,3588,11.0,375,375,gold,100.0,99.97213708553916,simulation
3600,47,3524,75.0,375,375,gold,100.0,99.97163120567376,simulation
3600,96,3427,172.0,375,375,silver,90.0,99.97082847141189,simulation
3600,104,3511,88.0,375,375,silver,90.0,99.97152619589976,simulation
3600,151,3495,104.0,375,375,silver,90.0,99.97139588100687,simulation
3600,162,3451,148.0,375,375,bronze,50.0,99.97103128621087,simulation
3600,169,3417,182.0,375,375,bronze,50.0,99.97074312463428,simulation
3600,190,3568,31.0,375,375,bronze,50.0,99.971980947044,simulation
3600,232,3465,134.0,375,375,bronze,50.0,99.97114829774955,simulation
3600,20,3367,232.0,375,375,gold,100.0,99.97030878859856,simulation
